Dataset,Modelo,Seed,k,DSEL_perc,Tempo_segundos,MAE,RMSE,R2,MAE_RARE,RMSE_RARE,RARES_TEST,PERC_RARES_TEST,P10_train,P90_train
lungcancer,Decision Tree,0,,,0.031116724014282227,2.9843632958801494,4.037292727641155,-1.0758215110883151,4.78162280701754,5.820010019760868,19,21.34831460674157,0.9400000000000003,8.293333333333333
lungcancer,Decision Tree,0,,,0.031116724014282227,2.9843632958801494,4.037292727641155,-1.0758215110883151,4.78162280701754,5.820010019760868,19,21.34831460674157,0.9400000000000003,8.293333333333333
lungcancer,Random Forest,0,,,0.6785991191864014,2.0094940074906362,2.66006869394523,0.09885384656100138,4.191720614035084,4.652610693465813,19,21.34831460674157,0.9400000000000003,8.293333333333333
lungcancer,Random Forest,0,,,0.6785991191864014,2.0094940074906362,2.66006869394523,0.09885384656100138,4.191720614035084,4.652610693465813,19,21.34831460674157,0.9400000000000003,8.293333333333333
lungcancer,Bagging,0,,,10.546065092086792,2.0203191011235946,2.6703469150499144,0.0918765279154915,4.238298245614033,4.721968018352621,19,21.34831460674157,0.9400000000000003,8.293333333333333
lungcancer,Bagging,0,,,10.546065092086792,2.0203191011235946,2.6703469150499144,0.0918765279154915,4.238298245614033,4.721968018352621,19,21.34831460674157,0.9400000000000003,8.293333333333333
lungcancer,DESREG-SE,0,5.0,0.5,2.1483912467956543,1.9600404868913854,2.5877891571231735,0.147160500119629,4.136528888888887,4.527725409733416,19,21.34831460674157,0.9400000000000003,8.293333333333333
lungcancer,DESREG-SE,0,5.0,0.5,2.1483912467956543,1.9600404868913854,2.5877891571231735,0.147160500119629,4.136528888888887,4.527725409733416,19,21.34831460674157,0.9400000000000003,8.293333333333333
lungcancer,DESREG-DRS,0,5.0,0.5,31.86122226715088,2.122347003745318,2.765867562443003,0.025745789935368912,4.055177192982453,4.63451837448305,19,21.34831460674157,0.9400000000000003,8.293333333333333
lungcancer,DESREG-DRS,0,5.0,0.5,31.86122226715088,2.122347003745318,2.765867562443003,0.025745789935368912,4.055177192982453,4.63451837448305,19,21.34831460674157,0.9400000000000003,8.293333333333333
lungcancer,DESREG-DES,0,5.0,0.5,40.80122780799866,2.0766471142777316,2.6795445978628107,0.08560991408171792,4.234974431818179,4.619098603984138,19,21.34831460674157,0.9400000000000003,8.293333333333333
lungcancer,DESREG-DES,0,5.0,0.5,40.80122780799866,2.0766471142777316,2.6795445978628107,0.08560991408171792,4.234974431818179,4.619098603984138,19,21.34831460674157,0.9400000000000003,8.293333333333333
lungcancer,Decision Tree,1,,,0.0065746307373046875,2.506975655430711,3.3023487425680185,0.023503010204055874,3.138033333333334,3.9257647344179984,25,28.08988764044944,0.9798333333333334,8.068333333333332
lungcancer,Decision Tree,1,,,0.0065746307373046875,2.506975655430711,3.3023487425680185,0.023503010204055874,3.138033333333334,3.9257647344179984,25,28.08988764044944,0.9798333333333334,8.068333333333332
lungcancer,Random Forest,1,,,0.28981971740722656,1.9714401685393252,2.6673622198677847,0.36292724787177033,3.6130936666666673,4.3103587278287465,25,28.08988764044944,0.9798333333333334,8.068333333333332
lungcancer,Random Forest,1,,,0.28981971740722656,1.9714401685393252,2.6673622198677847,0.36292724787177033,3.6130936666666673,4.3103587278287465,25,28.08988764044944,0.9798333333333334,8.068333333333332
lungcancer,Bagging,1,,,0.24106216430664062,2.0038181647940068,2.7182125246803204,0.33840554320550065,3.6433233333333335,4.345215599958444,25,28.08988764044944,0.9798333333333334,8.068333333333332
lungcancer,Bagging,1,,,0.24106216430664062,2.0038181647940068,2.7182125246803204,0.33840554320550065,3.6433233333333335,4.345215599958444,25,28.08988764044944,0.9798333333333334,8.068333333333332
lungcancer,DESREG-SE,1,5.0,0.5,5.4914281368255615,2.0931936329588012,2.766852530318245,0.31451640743104237,3.8799369777777777,4.4354361837776946,25,28.08988764044944,0.9798333333333334,8.068333333333332
lungcancer,DESREG-SE,1,5.0,0.5,5.4914281368255615,2.0931936329588012,2.766852530318245,0.31451640743104237,3.8799369777777777,4.4354361837776946,25,28.08988764044944,0.9798333333333334,8.068333333333332
lungcancer,DESREG-DRS,1,5.0,0.5,30.576500415802002,2.161112734082397,3.008882147007717,0.18934625331655086,4.103925999999999,4.941331007083684,25,28.08988764044944,0.9798333333333334,8.068333333333332
lungcancer,DESREG-DRS,1,5.0,0.5,30.576500415802002,2.161112734082397,3.008882147007717,0.18934625331655086,4.103925999999999,4.941331007083684,25,28.08988764044944,0.9798333333333334,8.068333333333332
lungcancer,DESREG-DES,1,5.0,0.5,38.87595009803772,2.0706368932840986,2.847661873944924,0.2738908980944339,4.038200314814815,4.723565269009021,25,28.08988764044944,0.9798333333333334,8.068333333333332
lungcancer,DESREG-DES,1,5.0,0.5,38.87595009803772,2.0706368932840986,2.847661873944924,0.2738908980944339,4.038200314814815,4.723565269009021,25,28.08988764044944,0.9798333333333334,8.068333333333332
lungcancer,Decision Tree,2,,,0.006125688552856445,2.855889513108614,3.9630244496724503,-0.3996798499438461,3.974484126984127,4.943788708301361,21,23.595505617977526,0.8043333333333335,7.983333333333335
lungcancer,Decision Tree,2,,,0.006125688552856445,2.855889513108614,3.9630244496724503,-0.3996798499438461,3.974484126984127,4.943788708301361,21,23.595505617977526,0.8043333333333335,7.983333333333335
lungcancer,Random Forest,2,,,0.2721292972564697,2.111319288389512,2.786673530498979,0.307934193955096,4.044278571428571,4.650211385255461,21,23.595505617977526,0.8043333333333335,7.983333333333335
lungcancer,Random Forest,2,,,0.2721292972564697,2.111319288389512,2.786673530498979,0.307934193955096,4.044278571428571,4.650211385255461,21,23.595505617977526,0.8043333333333335,7.983333333333335
lungcancer,Bagging,2,,,0.2964804172515869,2.0879917602996247,2.8067459170768307,0.29792839879579647,4.114461904761903,4.746975958238594,21,23.595505617977526,0.8043333333333335,7.983333333333335
lungcancer,Bagging,2,,,0.2964804172515869,2.0879917602996247,2.8067459170768307,0.29792839879579647,4.114461904761903,4.746975958238594,21,23.595505617977526,0.8043333333333335,7.983333333333335
