Dataset,Modelo,MEAN_MAE,STD_MAE,MEAN_RMSE,STD_RMSE,MEAN_R2,STD_R2,MEAN_MAE_RARE,STD_MAE_RARE,MEAN_RMSE_RARE,STD_RMSE_RARE,MEAN_TEMPO_SEGUNDOS,STD_TEMPO_SEGUNDOS
fuel,Bagging,0.30711406987724266,0.011849328568291973,0.5126621098393971,0.08624380411834195,0.9227484785321074,0.02339186466677784,0.4521013551663903,0.061500698797323054,0.804608551594022,0.22818759915455514,1.3703133583068847,0.5124583131626299
fuel,DESREG-DES,0.33107329690087484,0.01568745672199393,0.5433919900320512,0.07950321051196214,0.9136409913092397,0.022107870394106423,0.4853725707685542,0.07483755126206382,0.8446846300404178,0.22329243269984456,163.27889261245727,12.893592548180123
fuel,DESREG-DRS,0.3715210576015108,0.016519424066205293,0.65523517768375,0.11004947450473578,0.8730754494605962,0.03828259234593356,0.5285708136201424,0.09870080363724011,0.9591924809383278,0.30440827981388346,113.4327045917511,1.7646995848557192
fuel,DESREG-SE,0.3660732272134538,0.013547334197245416,0.5956632201130799,0.08518672039685429,0.8964415895206566,0.024146022193342054,0.572183918828715,0.06988048350303327,0.9685122063699605,0.22326612434427637,4.291385984420776,1.931072850975023
fuel,Decision Tree,0.35597733711048163,0.02160383520938114,0.6609583499709247,0.11996646053314365,0.8712058434125588,0.03967801594309322,0.5110914837858019,0.10311845136132937,1.005307363344348,0.35099111104323943,0.02216825485229488,0.002953545073666978
fuel,Random Forest,0.3044994806421153,0.010655406011588198,0.505136015621084,0.0876330489527344,0.924855572493197,0.023842329344040267,0.4427786536114424,0.05923982846633929,0.7898302312555486,0.2269031708700166,0.561814260482788,0.029675858717349454
lungcancer,Bagging,2.1400830711610483,0.15442769930482242,2.774635441310129,0.12472602523568367,0.14579814505336125,0.1635307852953714,3.778559291979948,0.3555428865030131,4.374922299652463,0.3325061061549228,2.4087987422943113,4.290041600739141
lungcancer,DESREG-DES,2.1634458352918404,0.11737552613129498,2.776887270111156,0.13198943616348136,0.15353126776565315,0.10000289558841614,3.997242042851988,0.29553898147102536,4.509048901984579,0.3403141743790572,47.816142892837526,7.954503454681889
lungcancer,DESREG-DRS,2.168427940074906,0.13990762455498956,2.8504884120304013,0.21908573262848394,0.11488172793691878,0.055884240073432616,3.9244511465329976,0.5913089039922884,4.562872407803645,0.6351112799292783,34.712701845169065,8.15221796471526
lungcancer,DESREG-SE,2.1099680249687887,0.1036792685317082,2.698155743342659,0.12914856735653155,0.20253533480236147,0.0752688462182555,3.9336570458201043,0.3652516147471785,4.386700955777225,0.39461414872068884,5.967115592956543,2.7068857868189315
lungcancer,Decision Tree,2.7144513108614228,0.1891473066509405,3.703091973958462,0.2875047678675859,-0.5349601687990001,0.3763768380333388,3.814767339181286,0.5821052814640703,4.810356094851846,0.7110582923188302,0.01567306518554682,0.00967715467960808
lungcancer,Random Forest,2.1231685580524338,0.14607830964274113,2.731390935627014,0.10659664397767764,0.17301720603879558,0.15014451398607878,3.7094885347117783,0.36928722939217223,4.276427446936492,0.36420152730370087,0.5003150939941406,0.1996739218067134
mortgage,Bagging,0.09047695238095235,0.009727632275641333,0.15818767900040037,0.023749628860137408,0.9975683420106428,0.0006058961493217594,0.1634701667619938,0.009348058405435471,0.25343050316867455,0.03545363969883984,0.47717790603637694,0.13527340020797166
mortgage,DESREG-DES,0.08756171371115655,0.007354389081150089,0.15228842510480262,0.01342416856128188,0.9977689746435715,0.0002664826907425358,0.16257150553565147,0.019587441239556084,0.2433760119566321,0.026856360380614126,96.47571520805359,4.114227046949626
mortgage,DESREG-DRS,0.11452342857142846,0.005109383740443126,0.2057095157223081,0.012573627323993482,0.9959193458779175,0.0004624085260254841,0.20438822340671506,0.03513161794331402,0.33093615597623094,0.0599973827642834,70.59242515563965,1.8160311200918293
mortgage,DESREG-SE,0.09268416507936503,0.007637852719614585,0.16441443708541703,0.01921940942327256,0.9973643315088271,0.0006139900312657038,0.1683946676721336,0.010370260376893687,0.25565843083711304,0.014375200030195039,5.168690872192383,1.0005786823356406
mortgage,Decision Tree,0.12991428571428565,0.014973947308895317,0.22746892200341104,0.04901661524515365,0.9949106558092609,0.0020056244683269837,0.22609336359469237,0.032635168135844474,0.3604085301474881,0.10665496735104678,0.013292264938354439,0.0011077256110461125
mortgage,Random Forest,0.08892771428571404,0.009295084689513837,0.15817049545430548,0.022119290250640813,0.9975716999433258,0.0005745855427550046,0.1614344676556366,0.012829546814332609,0.2540877376949179,0.03850391651989244,0.33035645484924314,0.32575574967035015
